Date,Borough,AllAgeTotalCOunt,AllAgeTotalRatio,Age0to4Count,Age0to4Ratio,Age5to17Count,Age5to17Ratio,Age18to64Count,Age18to64Ratio,Age65plusCount,Age65plusRatio
1/26/06,Unknown,11,0.03264095,4,0.444444444,2,0.0625,5,0.019011407,0,0
1/27/06,Bronx,74,0.037968189,24,0.233009709,24,0.110091743,26,0.019847328,0,0
1/27/06,Brooklyn,48,0.033264033,21,0.256097561,15,0.072115385,11,0.010978044,1,0.006622517
1/27/06,Manhattan,47,0.036070606,21,0.403846154,11,0.096491228,15,0.016129032,0,0
1/27/06,Queens,64,0.049612403,28,0.405797101,15,0.113636364,20,0.02283105,1,0.004694836
1/27/06,Staten Island,7,0.018134715,1,0.029411765,4,0.088888889,1,0.004237288,1,0.014084507
1/27/06,Unknown,6,0.018348624,2,0.222222222,2,0.08,2,0.007462687,0,0
1/28/06,Bronx,105,0.059760956,53,0.420634921,28,0.162790698,21,0.01761745,3,0.011235955
1/28/06,Brooklyn,66,0.050808314,26,0.252427185,25,0.12755102,14,0.015712682,1,0.009174312
1/28/06,Manhattan,61,0.053135889,27,0.509433962,17,0.168316832,15,0.018450185,2,0.011049724
1/28/06,Queens,70,0.056956876,39,0.402061856,18,0.114649682,12,0.014723926,1,0.00625
1/28/06,Staten Island,3,0.008571429,0,0,0,0,3,0.015463918,0,0
1/28/06,Unknown,9,0.026548673,6,0.4,1,0.025,2,0.008097166,0,0
1/29/06,Bronx,103,0.056314926,39,0.258278146,25,0.138888889,35,0.028455285,4,0.014925373
1/29/06,Brooklyn,78,0.063311688,38,0.355140187,30,0.18404908,9,0.010843374,1,0.007575758
1/29/06,Manhattan,60,0.051282051,21,0.375,26,0.242990654,11,0.013017752,2,0.012345679
1/29/06,Queens,81,0.072386059,38,0.558823529,26,0.204724409,13,0.016709512,4,0.02739726
1/29/06,Staten Island,4,0.010126582,0,0,4,0.078431373,0,0,0,0
1/29/06,Unknown,10,0.033112583,2,0.1,3,0.12,5,0.02173913,0,0
1/30/06,Bronx,105,0.04338843,39,0.302325581,44,0.153310105,22,0.013431013,0,0
1/30/06,Brooklyn,88,0.050955414,28,0.27184466,31,0.110714286,25,0.02140411,4,0.022727273
1/30/06,Manhattan,47,0.031886024,17,0.26984127,18,0.121621622,11,0.010328639,1,0.005050505
1/30/06,Queens,97,0.064882943,37,0.37755102,48,0.24,11,0.011190234,1,0.004672897
1/30/06,Staten Island,13,0.026639344,2,0.052631579,7,0.092105263,4,0.013513514,0,0
1/30/06,Unknown,7,0.019283747,1,0.058823529,0,0,6,0.021582734,0,0
1/31/06,Bronx,76,0.034111311,25,0.20661157,31,0.105084746,18,0.012345679,2,0.005649718
1/31/06,Brooklyn,70,0.048043926,21,0.221052632,25,0.12437811,23,0.022265247,1,0.0078125
1/31/06,Manhattan,65,0.050270688,13,0.203125,24,0.166666667,24,0.026229508,4,0.023529412
1/31/06,Queens,77,0.055959302,30,0.357142857,28,0.184210526,18,0.018967334,1,0.005235602
1/31/06,Staten Island,10,0.025641026,4,0.137931035,4,0.072727273,2,0.007905138,0,0
1/31/06,Unknown,5,0.0132626,1,0.090909091,2,0.047619048,2,0.006968641,0,0
2/1/06,Bronx,100,0.045004501,41,0.312977099,29,0.108208955,28,0.018741633,2,0.006079027
2/1/06,Brooklyn,82,0.055070517,33,0.347368421,32,0.12749004,16,0.015904573,1,0.00729927
2/1/06,Manhattan,52,0.040030793,17,0.25,17,0.106918239,17,0.01920904,1,0.005347594
2/1/06,Queens,60,0.045248869,21,0.256097561,20,0.130718954,19,0.021205357,0,0
2/1/06,Staten Island,10,0.025125628,4,0.133333333,5,0.076923077,1,0.0041841,0,0
2/1/06,Unknown,5,0.014749263,0,0,1,0.02631579,4,0.01509434,0,0
2/2/06,Bronx,86,0.039431454,38,0.342342342,27,0.092150171,20,0.013879251,1,0.002976191
2/2/06,Brooklyn,69,0.045394737,33,0.326732673,11,0.044176707,24,0.023300971,1,0.007142857
2/2/06,Manhattan,56,0.042232278,21,0.381818182,18,0.12244898,16,0.017075774,1,0.005347594
2/2/06,Queens,73,0.051553672,29,0.333333333,15,0.087209302,26,0.026998962,3,0.015463918
2/2/06,Staten Island,4,0.01038961,3,0.12,0,0,0,0,1,0.022727273
2/2/06,Unknown,5,0.014792899,1,0.111111111,1,0.038461539,3,0.010948905,0,0
2/3/06,Bronx,78,0.036844591,31,0.260504202,17,0.063432836,26,0.018400566,4,0.012618297
2/3/06,Brooklyn,74,0.049564635,33,0.471428571,25,0.12195122,16,0.015137181,0,0
2/3/06,Manhattan,44,0.032140248,13,0.224137931,13,0.10483871,14,0.014028056,4,0.021164021
2/3/06,Queens,55,0.039568345,17,0.223684211,22,0.13836478,16,0.016666667,0,0
2/3/06,Staten Island,10,0.02247191,2,0.066666667,5,0.087719298,3,0.01119403,0,0
2/3/06,Unknown,7,0.018766756,3,0.142857143,1,0.03125,3,0.010830325,0,0
2/4/06,Bronx,72,0.037325039,31,0.223021583,19,0.087155963,19,0.014705882,3,0.010714286
2/4/06,Brooklyn,72,0.057052298,35,0.5,16,0.100628931,17,0.018478261,4,0.03539823
2/4/06,Manhattan,55,0.047619048,19,0.327586207,16,0.2,18,0.021226415,2,0.01183432
2/4/06,Queens,74,0.065371025,37,0.402173913,24,0.237623762,12,0.015018774,1,0.007142857
2/4/06,Staten Island,5,0.014326648,2,0.064516129,1,0.017241379,2,0.009389671,0,0
2/4/06,Unknown,5,0.013812155,2,0.111111111,0,0,3,0.010752688,0,0
2/5/06,Bronx,93,0.04954715,32,0.226950355,36,0.16,23,0.018593371,2,0.00729927
2/5/06,Brooklyn,96,0.07735697,36,0.349514563,33,0.210191083,26,0.029988466,1,0.00877193
2/5/06,Manhattan,76,0.065687122,20,0.294117647,33,0.32038835,18,0.021556886,5,0.033112583
2/5/06,Queens,94,0.084532374,39,0.481481482,40,0.344827586,15,0.019893899,0,0
2/5/06,Staten Island,8,0.019753086,4,0.097560976,1,0.014492754,3,0.012396694,0,0
2/5/06,Unknown,12,0.031578947,2,0.052631579,7,0.21875,3,0.010380623,0,0
2/6/06,Bronx,114,0.046740467,36,0.3,41,0.124620061,34,0.020846107,3,0.008356546
2/6/06,Brooklyn,99,0.058166863,34,0.390804598,42,0.169354839,20,0.016611296,3,0.018404908
2/6/06,Manhattan,71,0.049581006,25,0.431034483,21,0.15,22,0.021359223,3,0.014705882
2/6/06,Queens,87,0.059589041,38,0.513513514,24,0.148148148,25,0.024975025,0,0
2/6/06,Staten Island,12,0.02690583,3,0.12,6,0.082191781,3,0.010489511,0,0
2/6/06,Unknown,8,0.019753086,1,0.043478261,3,0.073170732,4,0.012944984,0,0
2/7/06,Bronx,102,0.045822102,41,0.308270677,27,0.095744681,31,0.020557029,3,0.00990099
2/7/06,Brooklyn,104,0.065989848,41,0.436170213,36,0.138461539,26,0.024186047,1,0.006802721
2/7/06,Manhattan,61,0.045386905,24,0.48,10,0.064935065,22,0.023887079,5,0.02283105
2/7/06,Queens,56,0.041604755,26,0.298850575,18,0.107784431,11,0.012195122,1,0.005263158
2/7/06,Staten Island,9,0.02,6,0.260869565,0,0,3,0.010638298,0,0
2/7/06,Unknown,4,0.011299435,0,0,1,0.03030303,3,0.010830325,0,0
2/8/06,Bronx,76,0.036087369,24,0.196721312,20,0.07518797,27,0.018947368,5,0.017064846
2/8/06,Brooklyn,77,0.049107143,32,0.290909091,26,0.097378277,16,0.015252622,3,0.021126761
2/8/06,Manhattan,58,0.044207317,16,0.340425532,17,0.121428571,23,0.024704619,2,0.010309278
2/8/06,Queens,87,0.063829787,25,0.294117647,35,0.189189189,25,0.02753304,2,0.010810811
2/8/06,Staten Island,7,0.016786571,3,0.085714286,2,0.035087719,2,0.007751938,0,0
2/8/06,Unknown,6,0.018292683,2,0.153846154,0,0,3,0.011764706,1,0.034482759
2/9/06,Bronx,68,0.031835206,21,0.157894737,18,0.066420664,27,0.01876303,2,0.006825939
2/9/06,Brooklyn,70,0.045662101,20,0.183486239,24,0.1,23,0.022051774,3,0.021276596
2/9/06,Manhattan,57,0.044220326,15,0.326086957,16,0.113475177,26,0.028761062,0,0
2/9/06,Queens,60,0.044510386,22,0.231578947,15,0.093167702,20,0.022026432,3,0.016304348
2/9/06,Staten Island,7,0.018229167,1,0.029411765,3,0.044117647,3,0.012658228,0,0
2/9/06,Unknown,7,0.021472393,2,0.1,2,0.064516129,3,0.012295082,0,0
2/10/06,Bronx,75,0.037669513,27,0.226890756,21,0.077777778,27,0.020689655,0,0
2/10/06,Brooklyn,74,0.050305914,25,0.308641975,25,0.12195122,21,0.020467836,3,0.018867925
2/10/06,Manhattan,44,0.034700316,10,0.161290323,16,0.108108108,16,0.018390805,2,0.010638298
2/10/06,Queens,65,0.05019305,21,0.3,23,0.140243902,20,0.023068051,1,0.005154639
2/10/06,Staten Island,2,0.004842615,0,0,1,0.016666667,1,0.003891051,0,0
2/10/06,Unknown,7,0.017857143,1,0.045454546,3,0.103448276,3,0.009868421,0,0
2/11/06,Bronx,77,0.043429216,39,0.364485981,20,0.106382979,17,0.013621795,1,0.004347826
2/11/06,Brooklyn,63,0.054357205,25,0.328947368,24,0.16,12,0.014545455,2,0.018518519
2/11/06,Manhattan,47,0.042766151,11,0.203703704,18,0.236842105,16,0.019607843,2,0.013071895
2/11/06,Queens,62,0.057835821,31,0.397435897,20,0.157480315,11,0.014925373,0,0
2/11/06,Staten Island,1,0.003367003,0,0,0,0,0,0,1,0.020833333
2/11/06,Unknown,3,0.009836066,1,0.066666667,0,0,2,0.008333333,0,0
2/12/06,Bronx,50,0.040257649,18,0.21686747,18,0.141732284,12,0.013513514,2,0.013888889
2/12/06,Brooklyn,43,0.056953642,19,0.351851852,15,0.194805195,8,0.014519056,1,0.01369863
2/12/06,Manhattan,39,0.045667447,10,0.217391304,13,0.164556962,13,0.020092736,3,0.036585366
2/12/06,Queens,38,0.053900709,17,0.354166667,9,0.116883117,12,0.024340771,0,0
2/12/06,Staten Island,3,0.011673152,1,0.055555556,1,0.02173913,0,0,1,0.033333333
2/12/06,Unknown,3,0.013157895,0,0,1,0.052631579,2,0.010989011,0,0
2/13/06,Bronx,103,0.045294635,38,0.336283186,26,0.1003861,33,0.020780856,6,0.01910828
2/13/06,Brooklyn,83,0.052531646,30,0.291262136,30,0.140186916,22,0.019451813,1,0.007575758
2/13/06,Manhattan,67,0.05095057,16,0.390243902,22,0.166666667,26,0.026804124,3,0.017441861
2/13/06,Queens,67,0.048270893,33,0.507692308,20,0.143884892,12,0.012108981,2,0.010362694
2/13/06,Staten Island,6,0.015189873,3,0.103448276,3,0.051724138,0,0,0,0
2/13/06,Unknown,6,0.017804154,2,0.166666667,1,0.03030303,3,0.011627907,0,0
2/14/06,Bronx,102,0.046490428,31,0.281818182,25,0.10373444,41,0.026850033,5,0.015822785
